i0:0.219602,-0.000852141,1.48337e-83,0.00046821,0.107,0,0,1.59681e+56,0.671494,
mag1:0.219602,-0.000852141,1.48337e-83,0.00046821,0.107,0,0,1.59681e+56,0.671494,
mag2:0.219602,-0.000852141,1.48337e-83,0.00046821,0.107,0,0,1.59681e+56,0.671494,
mag3:0.219602,-0.000852141,1.48337e-83,0.00046821,0.107,0,0,1.59681e+56,0.671494,
mag4:0.219602,-0.000852141,1.48337e-83,0.00046821,0.107,0,0,1.59681e+56,0.671494,
mag5:0.219602,-0.000852141,1.48337e-83,0.00046821,0.107,0,0,1.59681e+56,0.671494,
mag6:0.219602,-0.000852141,1.48337e-83,0.00046821,0.107,0,0,1.59681e+56,0.671494,
mag7:0.219602,-0.000852141,1.48337e-83,0.00046821,0.107,0,0,1.59681e+56,0.671494,
mag8:0.219602,-0.000852141,1.48337e-83,0.00046821,0.107,0,0,1.59681e+56,0.671494,
mag9:0.219602,-0.000852141,1.48337e-83,0.00046821,0.107,0,0,1.59681e+56,0.671494,
o0:0.219602,-0.000852141,1.48337e-83,0.00046821,0.107,0,0,1.59681e+56,0.671494,
