0.001,0.14846,0.988874,0.00938879,0.132761,-0.991018,0.0160485,0.03,0,0,
0.002,0.143682,0.989618,0.00333073,0.131578,-0.991242,0.0112898,0.06,0,0,
0.003,0.146987,0.989127,-0.0047041,0.1297,-0.991539,0.0054105,0.09,0,0,
0.004,0.136725,0.990578,-0.00786057,0.147594,-0.988802,0.0220617,0.12,0,0,
0.005,0.127418,0.991778,-0.0118938,0.146782,-0.988556,0.034822,0.15,0,0,
0.006,0.124149,0.991946,-0.0251102,0.161094,-0.98605,0.0418894,0.18,0,0,
0.007,0.116873,0.992746,-0.0282014,0.161792,-0.985585,0.0494494,0.21,0,0,
0.008,0.113042,0.993336,-0.0224692,0.162079,-0.985494,0.0503194,0.24,0,0,
0.009,0.113417,0.993203,-0.0261466,0.149153,-0.987136,0.0575744,0.27,0,0,
0.01,0.109474,0.993622,-0.0270464,0.133069,-0.989279,0.0601706,0.3,0,0,
0.011,0.0972809,0.994649,-0.0347947,0.134762,-0.989336,0.0552581,0.33,0,0,
0.012,0.0816474,0.995966,-0.0372219,0.128603,-0.99069,0.044665,0.36,0,0,
0.013,0.061349,0.997436,-0.0368595,0.117793,-0.991718,0.0511887,0.39,0,0,
0.014,0.0508172,0.998087,-0.035225,0.11507,-0.991222,0.0651009,0.42,0,0,
0.015,0.0475199,0.99833,-0.0328495,0.125764,-0.990087,0.0625475,0.45,0,0,
0.016,0.0367234,0.998501,-0.0405819,0.108087,-0.992335,0.0599045,0.48,0,0,
0.017,0.0250404,0.998451,-0.0496773,0.110887,-0.992199,0.0569606,0.51,0,0,
0.018,0.0134418,0.99844,-0.0541943,0.111979,-0.991803,0.0615416,0.54,0,0,
0.019,0.0133799,0.999091,-0.0404717,0.0999967,-0.993306,0.0578179,0.57,0,0,
0.02,0.00115037,0.998587,-0.0531313,0.100308,-0.99176,0.0796868,0.6,0,0,
0.021,0.00348672,0.998471,-0.0551764,0.0889054,-0.993768,0.067239,0.63,0,0,
0.022,0.00643485,0.998757,-0.049429,0.0897875,-0.993535,0.0694715,0.66,0,0,
0.023,0.00518115,0.999358,-0.0354489,0.0843318,-0.994316,0.0649923,0.69,0,0,
0.024,0.00177509,0.999368,-0.0355131,0.0800569,-0.994862,0.0619767,0.72,0,0,
0.025,-0.000755024,0.999512,-0.0312269,0.0639047,-0.995683,0.0673163,0.75,0,0,
0.026,0.0122817,0.999525,-0.0282703,0.0670825,-0.99648,0.0502793,0.78,0,0,
0.027,0.0134355,0.999204,-0.0375571,0.0751325,-0.995235,0.0621462,0.81,0,0,
0.028,0.000954516,0.999435,-0.0336083,0.0748074,-0.995861,0.0516285,0.84,0,0,
0.029,-0.0165662,0.998541,-0.0513917,0.0826505,-0.994955,0.0568614,0.87,0,0,
0.03,-0.0256245,0.997827,-0.060699,0.0811169,-0.994505,0.0661842,0.9,0,0,
0.031,-0.0324036,0.997924,-0.0556605,0.0932796,-0.994127,0.0548735,0.93,0,0,
0.032,-0.0448706,0.997213,-0.0596127,0.0778439,-0.994573,0.0690277,0.96,0,0,
0.033,-0.0518651,0.997168,-0.0544546,0.049473,-0.996059,0.0736159,0.99,0,0,
0.034,-0.0629075,0.996102,-0.0618306,0.0330675,-0.995336,0.0906233,1.02,0,0,
0.035,-0.0683822,0.99602,-0.0571727,0.0166541,-0.994422,0.104154,1.05,0,0,
0.036,-0.0737308,0.994821,-0.0699686,-0.00431541,-0.994603,0.103663,1.08,0,0,
0.037,-0.0948382,0.991618,-0.0877472,-0.00434268,-0.995952,0.0897815,1.11,0,0,
0.038,-0.110179,0.989928,-0.0889042,-0.0224473,-0.995368,0.0934825,1.14,0,0,
0.039,-0.105528,0.991841,-0.0715252,-0.0062854,-0.994383,0.105655,1.17,0,0,
0.04,-0.109174,0.992095,-0.0618798,-0.0200635,-0.996289,0.0836982,1.2,0,0,
0.041,-0.10667,0.992607,-0.0579105,-0.0285053,-0.996831,0.0742692,1.23,0,0,
0.042,-0.107378,0.992829,-0.0525431,-0.0419776,-0.995667,0.082982,1.26,0,0,
0.043,-0.116231,0.992478,-0.0384373,-0.0733509,-0.993526,0.0867528,1.29,0,0,
0.044,-0.122469,0.991925,-0.0329536,-0.0716826,-0.993626,0.0869964,1.32,0,0,
0.045,-0.127267,0.990649,-0.0491795,-0.07187,-0.99395,0.0830589,1.35,0,0,
0.046,-0.115324,0.991907,-0.0531137,-0.0823759,-0.99304,0.0841811,1.38,0,0,
0.047,-0.108761,0.993016,-0.045717,-0.0915175,-0.991529,0.0921643,1.41,0,0,
0.048,-0.107591,0.992903,-0.0506757,-0.0957987,-0.991623,0.0866399,1.44,0,0,
0.049,-0.124276,0.99161,-0.0355575,-0.0863645,-0.992503,0.0864765,1.47,0,0,
0.05,-0.128286,0.990434,-0.0508273,-0.0860375,-0.992386,0.0881293,1.5,0,0,
0.051,-0.134185,0.989663,-0.0506098,-0.101976,-0.990979,0.0869606,1.53,0,0,
0.052,-0.14283,0.988951,-0.039696,-0.111832,-0.989636,0.0900745,1.56,0,0,
0.053,-0.139983,0.989564,-0.0341784,-0.126371,-0.988274,0.0857066,1.59,0,0,
0.054,-0.127287,0.991143,-0.0378605,-0.127448,-0.987935,0.0879845,1.62,0,0,
0.055,-0.140005,0.989582,-0.0335565,-0.126763,-0.988378,0.0839018,1.65,0,0,
0.056,-0.135733,0.990584,-0.0178786,-0.143191,-0.98596,0.0858998,1.68,0,0,
0.057,-0.144091,0.98927,-0.0241375,-0.165643,-0.982723,0.0825731,1.71,0,0,
0.058,-0.1433,0.989233,-0.0297011,-0.178648,-0.98025,0.0848237,1.74,0,0,
0.059,-0.149351,0.988567,-0.0207062,-0.187487,-0.978983,0.0802585,1.77,0,0,
0.06,-0.141889,0.989705,-0.0187509,-0.196109,-0.977317,0.0799518,1.8,0,0,
0.061,-0.152636,0.988095,-0.0192436,-0.204114,-0.975822,0.0781614,1.83,0,0,
0.062,-0.145896,0.989232,-0.0115794,-0.191441,-0.979135,0.0681529,1.86,0,0,
0.063,-0.147893,0.988992,-0.0046962,-0.195095,-0.978875,0.0611666,1.89,0,0,
0.064,-0.146412,0.989218,-0.00324904,-0.199575,-0.97843,0.0533375,1.92,0,0,
0.065,-0.147845,0.988895,0.0151061,-0.195543,-0.979619,0.0459257,1.95,0,0,
0.066,-0.136478,0.9903,0.0260739,-0.191118,-0.980125,0.0531915,1.98,0,0,
0.067,-0.127123,0.991296,0.0342322,-0.195795,-0.978732,0.0612146,2.01,0,0,
0.068,-0.127646,0.990994,0.0404543,-0.194141,-0.978847,0.0645631,2.04,0,0,
0.069,-0.127482,0.991114,0.0379706,-0.20748,-0.976585,0.0568667,2.07,0,0,
0.07,-0.122962,0.991723,0.0369605,-0.214845,-0.974901,0.0583968,2.1,0,0,
0.071,-0.130329,0.99076,0.0375278,-0.214594,-0.975184,0.0544557,2.13,0,0,
