Time,i0_x,i0_y,i0_z,mag1_x,mag1_y,mag1_z,mag2_x,mag2_y,mag2_z,
0.5656,0.136796,0.988401,-0.0659517,0.273449,-0.955465,0.110961,0.0710551,0.991203,-0.111659,
0.5757,0.0734826,0.99474,-0.071361,0.168033,-0.978933,0.115998,-0.0269871,0.995063,-0.0955068,
0.5858,0.00686378,0.99737,-0.0721522,0.062149,-0.992322,0.106935,-0.103743,0.992095,-0.0706066,
0.5959,-0.0584421,0.996015,-0.0673682,-0.029088,-0.996033,0.0840931,-0.153758,0.987213,-0.0420581,
0.606,-0.116775,0.991573,-0.0561005,-0.0926876,-0.994395,0.0508663,-0.176673,0.984169,-0.0140575,
0.6161,-0.161785,0.986093,-0.038029,-0.120958,-0.992577,0.0126425,-0.175276,0.984462,0.0106667,
0.6262,-0.187261,0.982212,-0.013881,-0.11232,-0.993365,-0.0247137,-0.153779,0.987628,0.0307104,
0.6363,-0.188149,0.982035,0.0143614,-0.0706141,-0.995927,-0.0560673,-0.116808,0.992108,0.0455812,
0.6464,-0.161587,0.9859,0.0434894,-0.00394429,-0.996958,-0.0778388,-0.0689674,0.996086,0.0552859,
0.6565,-0.10804,0.991726,0.069332,0.0769488,-0.993095,-0.0885556,-0.0147378,0.998088,0.0600235,
0.6666,-0.0323891,0.995645,0.087414,0.16099,-0.982941,-0.0889354,0.0414945,0.997333,0.0600381,
0.6767,0.0558032,0.993998,0.0940948,0.239125,-0.967582,-0.0812719,0.0954584,0.993877,0.055645,
0.6868,0.143812,0.985701,0.0878196,0.305592,-0.949707,-0.0683435,0.143191,0.988561,0.0473548,
0.6969,0.21888,0.973258,0.0697219,0.357694,-0.932365,-0.052444,0.181383,0.982754,0.035974,
0.707,0.271308,0.961524,0.0431623,0.39463,-0.918174,-0.0349756,0.20772,0.977928,0.0225912,
0.7171,0.295906,0.955134,0.0126201,0.416287,-0.909082,-0.0165964,0.221078,0.97522,0.00844865,
0.7272,0.291815,0.956318,-0.0173272,0.422504,-0.906358,0.00235053,0.221512,0.975144,-0.00524362,
0.7373,0.261778,0.964186,-0.0426249,0.412905,-0.910523,0.0213756,0.210079,0.977528,-0.0174826,
0.7474,0.211576,0.975509,-0.060147,0.38723,-0.921137,0.0394842,0.188559,0.981674,-0.0275854,
0.7575,0.149413,0.986426,-0.0681179,0.346071,-0.936595,0.0550056,0.159134,0.986629,-0.0352066,
0.7676,0.0847121,0.994186,-0.0664688,0.291815,-0.954215,0.0657155,0.12411,0.991452,-0.040247,
0.7777,0.0262699,0.998039,-0.0568202,0.22942,-0.970855,0.0693397,0.0857563,0.995402,-0.042676,
0.7878,-0.0194738,0.998931,-0.0419319,0.166396,-0.983956,0.0643633,0.0463591,0.998027,-0.0423433,
0.7979,-0.0492628,0.998477,-0.0248387,0.111609,-0.992453,0.0508015,0.00844025,0.999208,-0.0388965,
0.808,-0.0627556,0.997996,-0.00808962,0.0732047,-0.996851,0.0304921,-0.0250061,0.999179,-0.0318897,
0.8181,-0.0616014,0.998079,0.00663566,0.0565748,-0.998376,0.00671598,-0.0504948,0.998502,-0.0210749,
0.8282,-0.0484268,0.998655,0.0185209,0.0631919,-0.997862,-0.0166598,-0.0643908,0.997902,-0.00675352,
0.8383,-0.0260893,0.999285,0.0273636,0.090573,-0.995234,-0.0361465,-0.0635893,0.997926,0.00996974,
0.8484,0.00269302,0.999443,0.0332564,0.133186,-0.989859,-0.0494025,-0.0463793,0.998555,0.027151,
0.8585,0.0353941,0.998713,0.0363382,0.183984,-0.981355,-0.0556144,-0.0132629,0.999019,0.0422493,
0.8686,0.0695706,0.996902,0.0366918,0.236114,-0.970145,-0.0553955,0.032558,0.998083,0.0526388,
0.8787,0.10277,0.994111,0.0343886,0.284229,-0.957438,-0.050268,0.0853441,0.994761,0.0562842,
0.8888,0.132578,0.99073,0.0296096,0.325012,-0.944777,-0.0419829,0.137792,0.989077,0.052342,
0.8989,0.15682,0.987365,0.0227498,0.356915,-0.933589,-0.0319776,0.182577,0.982318,0.0414249,
0.909,0.173825,0.984671,0.0144409,0.379482,-0.924958,-0.0211456,0.213864,0.976533,0.0254197,
0.9191,0.182639,0.983165,0.00548127,0.392667,-0.919627,-0.00990983,0.228261,0.973575,0.00699171,
0.9292,0.183119,0.983085,-0.00329274,0.396419,-0.918068,0.00152199,0.225091,0.974276,-0.0109889,
0.9393,0.17588,0.984349,-0.0111452,0.390606,-0.920468,0.0128609,0.206208,0.978164,-0.0259446,
0.9494,0.162126,0.986614,-0.017543,0.375238,-0.92663,0.0235082,0.175536,0.983815,-0.0359818,
0.9595,0.143415,0.989414,-0.022191,0.350911,-0.935845,0.0324726,0.138363,0.989567,-0.0401701,
0.9696,0.121433,0.992285,-0.0249927,0.319283,-0.946878,0.0384788,0.100388,0.994197,-0.0386546,
0.9797,0.0978368,0.994864,-0.0259529,0.283391,-0.958159,0.0402724,0.0666704,0.997245,-0.0325276,
0.9898,0.0742267,0.996926,-0.0250684,0.24756,-0.968164,0.0370458,0.0407881,0.998892,-0.023467,
0.9999,0.0522229,0.998387,-0.0222669,0.216785,-0.975794,0.0288277,0.0244824,0.999612,-0.0132628,
1.01,0.0335757,0.999284,-0.0174386,0.195687,-0.980525,0.0166494,0.0178202,0.999835,-0.00340718,
1.0201,0.0201896,0.99974,-0.0105673,0.187416,-0.982278,0.00238262,0.0197037,0.999793,0.00513048,
1.0302,0.0139676,0.999901,-0.00190809,0.192912,-0.981146,-0.0117062,0.0284692,0.999524,0.0119136,
1.0403,0.0164598,0.999834,0.00787053,0.210772,-0.977252,-0.0235207,0.0423653,0.998959,0.0168914,
1.0504,0.0283952,0.999441,0.0176643,0.237755,-0.97081,-0.0316155,0.0598037,0.998006,0.0201928,
1.0605,0.0492515,0.998446,0.0260722,0.269691,-0.962294,-0.0354399,0.0793937,0.996602,0.0219552,
1.0706,0.0770434,0.996524,0.0316813,0.302484,-0.952501,-0.0352885,0.0998465,0.994754,0.0222449,
1.0807,0.108468,0.993538,0.0334185,0.332858,-0.942433,-0.0320192,0.11987,0.992566,0.0210745,
1.0908,0.139432,0.989751,0.030849,0.35868,-0.933079,-0.0266828,0.138139,0.99024,0.0184807,
1.1009,0.16582,0.985856,0.0243136,0.378872,-0.925228,-0.0202106,0.153373,0.98806,0.0146055,
1.111,0.184279,0.982762,0.0148608,0.393086,-0.919406,-0.0132537,0.164482,0.986332,0.00973978,
1.1211,0.192788,0.981232,0.00401443,0.401337,-0.91591,-0.00618231,0.170725,0.985309,0.00431012,
1.1312,0.190918,0.981584,-0.00654013,0.40374,-0.914874,0.000800016,0.171825,0.985127,-0.00118143,
