Time,i0_x,i0_y,i0_z,mag1_x,mag1_y,mag1_z,mag2_x,mag2_y,mag2_z,mag3_x,mag3_y,mag3_z,mag4_x,mag4_y,mag4_z,mag5_x,mag5_y,mag5_z,mag6_x,mag6_y,mag6_z,mag7_x,mag7_y,mag7_z,mag8_x,mag8_y,mag8_z,mag9_x,mag9_y,mag9_z,o0_x,o0_y,o0_z,
0.1313,0.267261,0.944313,-0.191948,0.505748,-0.856299,0.10474,0.995932,-0.0829344,-0.0352426,0.99737,-0.0715447,-0.0116333,0.995333,-0.0965007,-0.000555606,0.993602,-0.112204,0.0128939,0.998587,0.053013,-0.0037571,0.998664,0.0121003,0.0502413,0.994766,0.0865539,0.0543094,0.967812,0.214813,-0.131135,0.609478,-0.788274,-0.0846241,
0.1414,0.0897226,0.981205,-0.170842,0.432749,-0.897601,0.0839028,0.997767,-0.0462804,-0.0481581,0.998368,-0.0544095,-0.0173583,0.995633,-0.0932256,-0.00495674,0.992275,-0.123594,0.010672,0.998433,0.0553722,-0.00810677,0.99774,-0.051182,0.0435441,0.997748,0.013467,0.0657072,0.935539,0.344873,-0.0763468,0.740833,-0.628588,-0.236735,
0.1515,-0.0552422,0.991174,-0.120505,0.375771,-0.924621,0.0622339,0.998017,0.00463766,-0.0627742,0.99928,-0.0309345,-0.0219488,0.996319,-0.0852665,-0.00878649,0.991182,-0.132214,0.00877088,0.99787,0.0637922,-0.0136618,0.99513,-0.0958973,0.0227918,0.996088,-0.0649848,0.0598786,0.917792,0.397027,0.00524506,0.888161,-0.3371,-0.312304,
0.1616,-0.13891,0.988969,-0.051432,0.336154,-0.940962,0.0398736,0.994213,0.0715904,-0.0801003,0.999684,-0.00239932,-0.0250314,0.997233,-0.0734006,-0.0118164,0.990328,-0.138542,0.00756844,0.996621,0.0797295,-0.0197179,0.994123,-0.10816,-0.0046007,0.99101,-0.128284,0.0379802,0.932196,0.350283,0.0911678,0.948341,0.0155726,-0.31687,
0.1717,-0.149563,0.98851,0.0218621,0.315605,-0.948754,0.0160953,0.98243,0.15701,-0.100889,0.99922,0.0295538,-0.026186,0.998182,-0.0586691,-0.0138359,0.989617,-0.143536,0.00745705,0.994324,0.10331,-0.0254238,0.995935,-0.0851973,-0.0292496,0.987252,-0.159081,0.00511573,0.964979,0.212256,0.154152,0.903365,0.33755,-0.264561,
0.1818,-0.0910058,0.992181,0.0854084,0.316583,-0.948521,-0.00908806,0.956639,0.263068,-0.125044,0.99771,0.0628569,-0.0249844,0.998995,-0.0423573,-0.0146815,0.988856,-0.148618,0.00876456,0.990625,0.133263,-0.0300368,0.998435,-0.0357746,-0.042988,0.988518,-0.148082,-0.030068,0.98383,0.0179137,0.178208,0.813382,0.557987,-0.1645,
0.1919,0.0203993,0.991556,0.128064,0.34072,-0.939563,-0.0336465,0.90859,0.389599,-0.150588,0.995254,0.0949978,-0.0211133,0.999562,-0.0259296,-0.0142836,0.987759,-0.155548,0.0116833,0.98535,0.16729,-0.0331546,0.99888,0.0228226,-0.041446,0.993549,-0.0976054,-0.057735,0.969961,-0.182849,0.16044,0.761223,0.647509,-0.035654,
0.202,0.158287,0.976886,0.143664,0.386054,-0.920942,-0.0531754,0.829781,0.530839,-0.172259,0.992286,0.123114,-0.0145674,0.99986,-0.0108974,-0.0127177,0.985957,-0.166207,0.0162202,0.978603,0.202785,-0.034843,0.997189,0.0705431,-0.0252543,0.997291,-0.020995,-0.0705031,0.934565,-0.34015,0.104337,0.787807,0.609553,0.0883508,
0.2121,0.293033,0.946833,0.132812,0.44478,-0.893486,-0.0620758,0.717495,0.672682,-0.180828,0.989527,0.144233,-0.00582775,0.999947,0.00137059,-0.0102414,0.982989,-0.182321,0.0221832,0.970697,0.237654,-0.0355944,0.995829,0.0912437,0.000307469,0.995933,0.0619191,-0.0654427,0.909359,-0.415517,0.0202961,0.868376,0.463099,0.177377,
0.2222,0.401374,0.910238,0.101808,0.503818,-0.861973,-0.0563062,0.58383,0.79482,-0.165541,0.987807,0.155626,0.00417338,0.999925,0.00986958,-0.00730054,0.97828,-0.20522,0.0292084,0.961932,0.270888,-0.0361519,0.996612,0.0776515,0.0271159,0.990519,0.130213,-0.0437892,0.918121,-0.390027,-0.0702328,0.945103,0.241365,0.220279,
0.2323,0.471305,0.879997,0.0589563,0.548895,-0.835113,-0.0360708,0.459217,0.880084,-0.120717,0.987791,0.155114,0.0144677,0.99989,0.0141678,-0.004485,0.97114,-0.23565,0.036817,0.952337,0.302757,-0.0373066,0.998352,0.0331162,0.0468683,0.986027,0.166258,-0.0104223,0.952715,-0.269199,-0.140945,0.975325,-0.00803125,0.220626,
0.2424,0.499737,0.866101,0.0115123,0.569385,-0.822047,-0.00627668,0.381057,0.923087,-0.0520299,0.989677,0.141183,0.0246297,0.999891,0.0145486,-0.00243701,0.960796,-0.273664,0.0444839,0.941499,0.334666,-0.0397199,0.998124,-0.0296516,0.0535744,0.986778,0.159933,0.0262903,0.981154,-0.0841946,-0.173922,0.954484,-0.234086,0.184835,
0.2525,0.487643,0.872342,-0.0349739,0.56078,-0.827578,0.0252939,0.373468,0.927328,0.0241652,0.992993,0.112889,0.0349309,0.999926,0.0120457,-0.0017636,0.946479,-0.318599,0.0516911,0.928505,0.368735,-0.0437332,0.994702,-0.0923314,0.0451926,0.992076,0.112309,0.0563235,0.979519,0.115758,-0.164752,0.910336,-0.396124,0.11989,
0.2626,0.437421,0.896064,-0.0757155,0.525011,-0.849602,0.0503922,0.43472,0.896235,0.0882154,0.996504,0.0698561,0.0458186,0.99996,0.00839369,-0.00300089,0.927564,-0.369143,0.0579497,0.912057,0.407106,-0.0491646,0.990324,-0.13664,0.024249,0.996776,0.0359636,0.0717206,0.952583,0.280286,-0.118431,0.880328,-0.472831,0.0381275,
0.2727,0.353685,0.929378,-0.105661,0.470372,-0.88025,0.0625307,0.539616,0.832466,0.125758,0.998283,0.0125557,0.0572208,0.99996,0.0059444,-0.00661055,0.903729,-0.423473,0.0628025,0.890777,0.451076,-0.0551927,0.988657,-0.150164,-0.00281131,0.996394,-0.0491944,0.0691273,0.926617,0.373136,-0.0463615,0.885739,-0.462194,-0.0429428,
0.2828,0.246138,0.961837,-0.119522,0.410399,-0.909989,0.0591064,0.653709,0.744984,0.132904,0.996011,-0.0573306,0.0683756,0.999887,0.00754976,-0.0129635,0.875106,-0.479432,0.0658351,0.863701,0.500367,-0.0604499,0.991124,-0.130021,-0.0277213,0.991299,-0.121898,0.0496703,0.925162,0.378063,0.0338041,0.920661,-0.375276,-0.107479,
0.2929,0.131468,0.984821,-0.113332,0.360045,-0.931972,0.0423783,0.750139,0.65116,0.115251,0.987486,-0.136907,0.0782783,0.999616,0.0163922,-0.0223242,0.842387,-0.534727,0.0667114,0.830866,0.552854,-0.0633592,0.995595,-0.0832121,-0.0431942,0.986219,-0.164456,0.01806,0.949065,0.298202,0.10174,0.961578,-0.232005,-0.146769,
0.303,0.0311395,0.995746,-0.086724,0.33048,-0.943639,0.0181028,0.817325,0.570285,0.0821919,0.971108,-0.222534,0.0861873,0.998749,0.0358096,-0.0348892,0.806858,-0.587135,0.0652145,0.793781,0.604973,-0.0626088,0.998691,-0.0241549,-0.0450822,0.985876,-0.166516,-0.0179085,0.977707,0.154919,0.141733,0.985508,-0.0595268,-0.158839,
0.3131,-0.0346782,0.998427,-0.0440611,0.326026,-0.945333,-0.00726901,0.855175,0.516654,0.0417636,0.946166,-0.310407,0.0917429,0.996304,0.0692021,-0.0508869,0.770336,-0.634686,0.061289,0.755469,0.652651,-0.0575627,0.999009,0.0296261,-0.0332041,0.990579,-0.127941,-0.0488275,0.988985,-0.0152398,0.147231,0.983104,0.111249,-0.14536,
0.3232,-0.0529757,0.998574,0.00652571,0.344617,-0.938302,-0.0287793,0.867381,0.497644,-0.000990536,0.912939,-0.396925,0.0948302,0.990253,0.120024,-0.0706689,0.735017,-0.675805,0.0551059,0.719917,0.692367,-0.0484385,0.997986,0.0624648,-0.011051,0.996004,-0.0593248,-0.0667652,0.978037,-0.170294,0.120182,0.961505,0.251782,-0.110063,
0.3333,-0.0206225,0.998262,0.0552016,0.380238,-0.92386,-0.0436164,0.856147,0.514932,-0.0430972,0.872653,-0.478902,0.0955528,0.976877,0.191697,-0.0946753,0.703186,-0.709438,0.0471832,0.691074,0.721875,-0.0362372,0.997786,0.0647128,0.0153206,0.997468,0.0211879,-0.0678936,0.958685,-0.275983,0.0689707,0.937916,0.34179,-0.0591085,
0.3434,0.0552686,0.994177,0.0925051,0.425359,-0.903607,-0.0506313,0.820607,0.565583,-0.0819709,0.827204,-0.553901,0.0944856,0.949966,0.287068,-0.123114,0.676733,-0.735218,0.038565,0.671777,0.74041,-0.0225442,0.99863,0.0348972,0.0389831,0.994219,0.0934406,-0.0528954,0.949348,-0.314151,0.00682617,0.928391,0.371602,-0.0012875,
0.3535,0.158455,0.981059,0.111423,0.472387,-0.880001,-0.0494804,0.75827,0.641896,-0.113997,0.778394,-0.620838,0.0930691,0.900221,0.406857,-0.155143,0.656465,-0.75372,0.0309901,0.662991,0.74857,-0.00929309,0.998341,-0.0202981,0.053883,0.98974,0.140489,-0.0260166,0.957588,-0.28356,-0.0511702,0.938573,0.340931,0.0533567,
0.3636,0.267363,0.957383,0.109246,0.514123,-0.85678,-0.0400629,0.669031,0.731044,-0.134064,0.726587,-0.680649,0.0937422,0.816126,0.546639,-0.187413,0.641287,-0.76683,0.0268843,0.663571,0.748111,0.00152012,0.994565,-0.0877213,0.0560918,0.988331,0.152203,0.00594391,0.976041,-0.19694,-0.0925161,0.961578,0.257245,0.0958776,
0.3737,0.361399,0.928252,0.0879737,0.543806,-0.838905,-0.0226487,0.56029,0.816904,-0.136906,0.669206,-0.736411,0.099307,0.688622,0.693275,-0.212532,0.62753,-0.778055,0.0289411,0.670586,0.741787,0.00819278,0.987563,-0.150772,0.0445817,0.991246,0.127308,0.0349952,0.990868,-0.0774444,-0.11038,0.983466,0.135359,0.120305,
0.3838,0.426074,0.903152,0.0527059,0.555369,-0.831602,0.00148343,0.449023,0.885369,-0.120416,0.600137,-0.792121,0.111261,0.520765,0.82498,-0.219572,0.608835,-0.792332,0.0391059,0.680073,0.733081,0.00964619,0.980854,-0.193526,0.0217347,0.995819,0.07358,0.0541338,0.993497,0.0464419,-0.10396,0.992259,-0.00354116,0.124139,
0.3939,0.453789,0.89106,0.00939047,0.544083,-0.83851,0.0295546,0.356476,0.930073,-0.0888225,0.51143,-0.849811,0.127517,0.336152,0.920466,-0.199359,0.577092,-0.814679,0.0571184,0.687903,0.725782,0.00557558,0.978728,-0.205048,-0.00681606,0.998218,0.00558006,0.0594111,0.985944,0.148075,-0.0773857,0.98492,-0.135307,0.107813,
0.404,0.441545,0.896502,-0.0363756,0.50748,-0.859747,0.0574409,0.297522,0.953272,-0.0524714,0.398346,-0.906342,0.14094,0.172956,0.97307,-0.152382,0.524721,-0.847569,0.0793401,0.690344,0.723472,-0.00364378,0.982652,-0.182383,-0.0336279,0.996934,-0.0596246,0.0506778,0.97711,0.209244,-0.0383806,0.96847,-0.237803,0.0742697,
0.4141,0.388997,0.91783,-0.0791756,0.446482,-0.891166,0.0804835,0.272846,0.961768,-0.0236093,0.266664,-0.953445,0.140829,0.0630274,0.993859,-0.090946,0.448253,-0.888428,0.0988187,0.684171,0.72912,-0.0171726,0.99,-0.131205,-0.0518092,0.993767,-0.107064,0.03107,0.97479,0.223095,0.00360079,0.955011,-0.295137,0.029127,
0.4242,0.299066,0.947499,-0.113163,0.366354,-0.92564,0.094738,0.269389,0.96297,-0.0108708,0.136756,-0.983516,0.118297,0.0158605,0.999351,-0.0323413,0.352363,-0.929716,0.107093,0.666491,0.744748,-0.0337815,0.996309,-0.0641708,-0.0570169,0.99185,-0.127272,0.0059824,0.980363,0.193141,0.0398139,0.953807,-0.299786,-0.0195111,
0.4343,0.180625,0.974615,-0.132286,0.276394,-0.956007,0.0982702,0.267629,0.963395,-0.0156555,0.0378107,-0.996647,0.0725565,0.0194812,0.99976,0.0100424,0.251862,-0.962827,0.0976193,0.634785,0.770966,-0.0515774,0.998831,0.00241308,-0.0482799,0.992848,-0.117981,-0.0182511,0.989382,0.130409,0.0641642,0.965451,-0.252951,-0.0626165,
0.4444,0.0502157,0.989973,-0.13203,0.187574,-0.977956,0.0917491,0.250754,0.967522,-0.0319934,-0.00571955,-0.999902,0.0127749,0.0511991,0.99819,0.0315373,0.168195,-0.9833,0.0695161,0.587681,0.806272,-0.0675047,0.998222,0.052708,-0.0278434,0.995808,-0.0840841,-0.0359925,0.995997,0.0503583,0.0738461,0.982069,-0.164175,-0.0926711,
0.4545,-0.0706863,0.991218,-0.111759,0.109234,-0.99097,0.0777541,0.21145,0.976143,-0.0493348,0.0149272,-0.998844,-0.0456883,0.0892806,0.99535,0.0361632,0.120595,-0.99228,0.0289493,0.526719,0.846531,-0.077152,0.99718,0.0750504,-0.000442361,0.998396,-0.0358818,-0.0437901,0.997154,-0.0302378,0.0690631,0.99317,-0.0501321,-0.105352,
0.4646,-0.162325,0.983842,-0.0755395,0.0470869,-0.997136,0.0591867,0.154747,0.986328,-0.0566683,0.0895913,-0.992142,-0.0873372,0.121141,0.992087,0.0329759,0.117589,-0.992973,-0.0133161,0.458537,0.885459,-0.0755433,0.997548,0.0641862,0.0279086,0.999058,0.0140113,-0.0410612,0.993943,-0.0965475,0.0525022,0.992679,0.0682218,-0.0996753,
0.4747,-0.212304,0.976724,-0.0306118,0.00362834,-0.999277,0.0378483,0.0965398,0.994228,-0.0468088,0.192657,-0.975904,-0.102444,0.145671,0.988849,0.0309354,0.154146,-0.986947,-0.0466229,0.395691,0.916474,-0.0591933,0.998443,0.0217132,0.0513756,0.998089,0.0541238,-0.029824,0.989955,-0.138448,0.0286421,0.98242,0.169887,-0.0773871,
0.4848,-0.216888,0.976081,0.0149922,-0.0198067,-0.999706,0.0139817,0.0574363,0.99816,-0.0194145,0.293026,-0.951768,-0.0909576,0.169819,0.98486,0.0348296,0.215044,-0.974459,-0.0646927,0.354043,0.934792,-0.0285985,0.996858,-0.0447285,0.0653766,0.996949,0.0768248,-0.0138274,0.988401,-0.151841,0.00270435,0.970331,0.23799,-0.0426441,
0.4949,-0.179586,0.982253,0.0541155,-0.0210161,-0.999694,-0.0130703,0.0541927,0.998348,0.0190838,0.366794,-0.928251,-0.0617465,0.202127,0.978372,0.0439552,0.282123,-0.956998,-0.0675316,0.346756,0.937895,0.0106649,0.990181,-0.122747,0.0669,0.996819,0.0796592,0.00256023,0.990185,-0.138244,-0.0205426,0.96492,0.262536,-0.00181008,
0.505,-0.109674,0.990625,0.0814489,0.00366687,-0.999049,-0.0434504,0.0932851,0.993915,0.0585655,0.4043,-0.914204,-0.0277857,0.24681,0.967577,0.0536637,0.34165,-0.937896,-0.0602214,0.378089,0.924444,0.0495245,0.978927,-0.196781,0.0545806,0.997747,0.0652717,0.0154923,0.993936,-0.103326,-0.0376187,0.969699,0.241407,0.0374954,
0.5151,-0.0207188,0.995318,0.0944097,0.0578899,-0.995477,-0.0753335,0.169083,0.981549,0.08929,0.409343,-0.91238,-0.00122642,0.301123,0.951791,0.0584711,0.38801,-0.920319,-0.049619,0.441025,0.894005,0.0790682,0.967677,-0.25048,0.0293353,0.998941,0.0400962,0.0225813,0.997384,-0.0552681,-0.0465936,0.981273,0.180146,0.0681954,
0.5252,0.0722334,0.992974,0.0937309,0.142074,-0.984342,-0.104331,0.266519,0.958062,0.105289,0.395195,-0.918546,0.00969625,0.356767,0.932573,0.0550072,0.422801,-0.90529,-0.0411164,0.520474,0.848669,0.0941675,0.962791,-0.270208,-0.00462223,0.999654,0.0121451,0.023352,0.998889,-0.00328373,-0.0470029,0.992187,0.0909466,0.0854078,
0.5353,0.156576,0.984173,0.0829851,0.250137,-0.960171,-0.124508,0.367336,0.924024,0.106041,0.380041,-0.924966,0.0024876,0.404012,0.913717,0.0435424,0.4513,-0.891606,-0.0369666,0.600183,0.794216,0.0948752,0.967706,-0.248922,-0.0397921,0.999752,-0.0114612,0.0190802,0.998254,0.043756,-0.0396893,0.996157,-0.00939224,0.0870755,
0.5454,0.224968,0.972063,0.0669544,0.36891,-0.920203,-0.130888,0.457113,0.884251,0.095651,0.381168,-0.924309,-0.0190814,0.435984,0.899529,0.0276867,0.478694,-0.877227,-0.0363861,0.668772,0.738593,0.0849914,0.979657,-0.189022,-0.0673957,0.999578,-0.0263991,0.012142,0.996548,0.0786451,-0.0265994,0.991981,-0.102637,0.0737545,
0.5555,0.275512,0.960006,0.0498136,0.481931,-0.867689,-0.121896,0.529056,0.844797,0.0801107,0.408703,-0.911477,-0.0465977,0.451086,0.892389,0.0127692,0.50759,-0.860811,-0.0368408,0.72156,0.688871,0.0693372,0.991438,-0.102894,-0.0803992,0.999478,-0.0318992,0.00512738,0.995242,0.0968785,-0.010435,0.983789,-0.172708,0.0482846,
