Time,Magnet_72_0_x,Magnet_72_0_y,Magnet_72_0_z,Magnet_72_1_x,Magnet_72_1_y,Magnet_72_1_z,Magnet_72_2_x,Magnet_72_2_y,Magnet_72_2_z,Magnet_72_3_x,Magnet_72_3_y,Magnet_72_3_z,Magnet_72_4_x,Magnet_72_4_y,Magnet_72_4_z,Magnet_72_5_x,Magnet_72_5_y,Magnet_72_5_z,Magnet_72_6_x,Magnet_72_6_y,Magnet_72_6_z,Magnet_72_7_x,Magnet_72_7_y,Magnet_72_7_z,Magnet_72_8_x,Magnet_72_8_y,Magnet_72_8_z,Magnet_72_9_x,Magnet_72_9_y,Magnet_72_9_z,Magnet_72_10_x,Magnet_72_10_y,Magnet_72_10_z,Magnet_72_11_x,Magnet_72_11_y,Magnet_72_11_z,Magnet_72_12_x,Magnet_72_12_y,Magnet_72_12_z,
1.2,0.0335939,0.999413,-0.00665061,0.291826,0.956372,0.0137925,0.588072,0.808804,0.00286765,0.663309,-0.748159,-0.016693,0.176674,0.984263,0.00360103,0.325253,0.94549,-0.0161066,-0.0486308,-0.998817,-0.000588063,0.427545,0.903993,-0.00121281,0.455104,0.890426,0.00464042,0.649448,-0.760403,-0.00215992,0.997968,0.0636431,-0.0030863,0.99995,0.00988346,0.00155982,0.999989,-0.00423388,-0.00202212,
1.3,0.0375738,0.999291,-0.00236143,0.29502,0.955411,0.0123475,0.638554,0.769554,0.00605026,0.695134,-0.718869,-0.00408872,0.183354,0.983045,-0.00200701,0.371074,0.928596,-0.00366862,-0.0480653,-0.998843,0.00128759,0.481881,0.876237,-0.00044426,0.503456,0.864,0.00601397,0.715527,-0.698582,0.0021871,0.997588,0.0693198,0.00358685,0.999985,-0.00366484,-0.00406435,0.999985,-0.00550798,0.000126851,
1.4,0.035076,0.999384,0.0014654,0.309186,0.950985,0.00554337,0.665179,0.746645,0.00759716,0.748638,-0.662968,-0.00398319,0.203171,0.979142,-0.00159717,0.384849,0.922934,0.0091945,-0.0450078,-0.998985,0.00156637,0.476657,0.879089,-0.000594586,0.470711,0.882287,0.000412655,0.689527,-0.724253,0.00318952,0.996808,0.0797149,-0.00443823,0.999955,-0.00936856,0.00136962,0.999984,-0.00559667,-0.000781082,
1.5,0.029308,0.999566,0.00304706,0.335994,0.941864,7.61695e-05,0.70444,0.709743,0.0054537,0.77771,-0.628556,-0.00923006,0.208607,0.977998,0.00158512,0.387965,0.921629,0.00914308,-0.0436469,-0.999047,0.000423211,0.509297,0.860588,0.0019273,0.504895,0.86318,0.000889082,0.712139,-0.70201,-0.00637888,0.997034,0.0769016,0.00310847,0.999993,-0.003568,0.000536711,0.999967,-0.00809011,0.000619163,
1.6,0.0243709,0.9997,0.00242243,0.365968,0.930627,-0.001238,0.756344,0.654159,0.00444421,0.820612,-0.571459,-0.00551453,0.217781,0.975997,0.00100457,0.407246,0.913317,0.00147519,-0.0451809,-0.998979,-0.000681134,0.522359,0.852718,0.00363709,0.508928,0.860808,-0.00157785,0.703757,-0.710435,0.00261342,0.996236,0.0866067,-0.00367582,0.999993,-0.00348764,0.00108616,0.999993,-0.0038084,0.000609438,
1.7,0.022283,0.999751,0.000820093,0.392912,0.919576,0.000700675,0.786279,0.61784,0.00628846,0.847098,-0.531412,-0.00506634,0.223487,0.974706,0.000884639,0.441171,0.897422,-0.00147468,-0.0475982,-0.998866,-0.000718237,0.529297,0.848436,0.00109219,0.51686,0.856067,0.00214377,0.713306,-0.700849,-0.00229378,0.995746,0.0921238,0.00179819,0.999979,-0.00638201,-0.00071951,0.999982,-0.00594297,-0.000657671,
1.8,0.0226354,0.999744,-0.000507184,0.415374,0.909646,0.00302632,0.831827,0.554973,0.0083073,0.881972,-0.471238,-0.00774261,0.23209,0.972693,0.00156992,0.469355,0.883007,0.00208106,-0.0488148,-0.998808,-8.61585e-05,0.555783,0.831327,-0.000764659,0.525893,0.85055,0.00122394,0.717745,-0.696306,0.000290909,0.995395,0.0958164,-0.00268759,0.999976,-0.00695287,0.000792533,0.999967,-0.00815318,0.000238952,
1.9,0.0239477,0.999713,-0.000969361,0.43522,0.900316,0.00377466,0.870511,0.492109,0.0062572,0.907473,-0.420085,-0.00457647,0.237627,0.971356,0.00093336,0.488402,0.872607,0.00462055,-0.0485918,-0.998819,0.000353363,0.569132,0.822245,0.00170015,0.52969,0.848191,0.000913063,0.7189,-0.695113,-0.000388127,0.994046,0.108964,0.000357643,0.999953,-0.00970192,0.000227012,0.999981,-0.00612052,0.000146911,
2,0.0247934,0.999692,-0.000730098,0.456543,0.889697,0.00286105,0.905216,0.424862,0.00869562,0.928447,-0.37141,-0.00632982,0.242555,0.970137,0.00101323,0.508698,0.86094,0.002997,-0.0482872,-0.998833,0.00030451,0.578297,0.815826,0.00114225,0.53829,0.842759,0.000236807,0.726121,-0.687567,-0.000384324,0.993592,0.113013,-0.00150698,0.999964,-0.00849409,0.000664672,0.999965,-0.00841056,3.5326e-05,
2.1,0.0246674,0.999696,-0.000281306,0.481035,0.876699,0.00195589,0.945375,0.325779,0.0115694,0.949125,-0.314839,-0.00615521,0.248109,0.968732,0.000697768,0.535507,0.844529,0.00165299,-0.0486088,-0.998818,7.90493e-05,0.591839,0.806056,-0.000502235,0.542934,0.839776,0.000339548,0.724323,-0.68946,-0.000612033,0.991554,0.12969,-0.00144856,0.999915,-0.0130289,0.0003227,0.999972,-0.00744932,7.08737e-05,
2.2,0.0239539,0.999713,1.17939e-05,0.506853,0.86203,0.00217682,0.980322,0.196863,0.014631,0.965767,-0.259331,-0.00639975,0.252778,0.967524,0.000634344,0.562414,0.826851,0.00294261,-0.0492321,-0.998787,-4.23115e-05,0.600729,0.799453,-0.000298401,0.547539,0.83678,0.000648187,0.728176,-0.68539,-4.50065e-05,0.990233,0.139418,-0.00108194,0.999891,-0.0147449,0.000456647,0.999954,-0.00963639,8.10795e-06,
2.3,0.0231584,0.999732,0.000100093,0.532483,0.846436,0.0030115,0.999697,0.0120161,0.0214963,0.979789,-0.199903,-0.00725293,0.25671,0.966488,0.00063813,0.587056,0.809537,0.0039103,-0.0497817,-0.99876,-6.77437e-05,0.598019,0.801477,-0.0029354,0.545958,0.837812,-0.000560174,0.728161,-0.685405,0.000942036,0.987544,0.157328,-0.00221852,0.999834,-0.0181837,0.000900681,0.999957,-0.00926672,0.000186657,
2.4,0.0225196,0.999746,9.20639e-05,0.558793,0.8293,0.00330249,0.97524,-0.220391,0.0182906,0.990953,-0.134034,-0.00692387,0.260069,0.96559,0.000585701,0.616324,0.787485,0.00338346,-0.050211,-0.998739,-4.12035e-05,0.574747,0.81831,-0.00587317,0.534452,0.845197,-0.00197148,0.720923,-0.693013,0.00161263,0.983433,0.181254,-0.00253624,0.99973,-0.0232033,0.000761728,0.999943,-0.0106545,3.13133e-05,
